,bookid,name,has_disability,words,bookname
10,8469,Mrs. Heathcliff,0,checked said answered reading held come looked returned brought have has abandoned abandoned persisted cherished begins announced seemed wore 'Ll presented born lived wrote suffered had wished convince remained undressed be used staid said have replied observed learned continued murmured covering nursed accustomed regard love dressed examine seated have daughter answer hand eyes occupation face labour apron name lip seat husband kindly home opinion infatuation teach hate hair shoulders age position feet detestation husband family illness brother hands hope request hands knees inlaw needful pertness affairs sauciness heart,Wuthering Heights
11,mdp.39015000608102,John Hardy,0,went thought carried came put gone was brought said went go concealed come understand taken came stood put reproached shouldered watched find tell told took arms sisters arms thoughts door hand coming shoulder arms,"Winesburg, Ohio"
12,uc1.$b322793,Mrs. Fogarty,0,had pulled wore know smoke noticed accepted sacrificed suggested listening had said added send said fluttered remember heard said wait went thought worry thanked keep kissed see coming come beamed whispered coming said drink drink knifing lived shouted disappoint cried Catholic delighted girl darling drawing-room windows drawing-room fingers sofa protests move arm back dress hair youth spare-room circumference feet feet eyes wrist amused drawing-room drawing-room drawing-room personality taste,The Last September
13,pst.000018729719,Mrs. Willard,0,wanted invited had traded gave trying braiding spent put came was mean fanatic pregnant house house interpreter house mat mat cottage woman,The Bell Jar
14,mdp.39015028400326,El Camino College,0,lay go got living come wanted tapped worn made held died understood hands pockets life hands interest,Jewel
15,uc2.ark+=13960=t22b8w678,Mr. Skee,0,crossed told given said insisted frisked applied asked hovered revolved paid devoted remained described apologise had replied shook recall have was threw continued drifted said said strolled said said protested waltzing poured liked needed sunk said said said returned said affected kept produced said offered consulted proposed said consulted consulted had announced show refused had want set showed said replied replied proved regaled answered brought was arose pursuing arose continued looking rose rose waved wore turned believed said sat draw told questioned question questioned persuaded replied annoyed regarded advised cried relic friends able parents bit youth liking conversation devotion air Stetson bows gallantry age head youth uncertainty laugh departure manner voice affairs counsel own way success friends name smile consultations chair chair smile well wide way look wife hand language head,The Crux
16,pst.000018729719,Jody,0,said said thought working rented wanted said began wanted said swimming notice joked ran ran gave remember asked put told pinned begged watching practical house cheeks,The Bell Jar
17,mdp.39015043002289,Rudy,0,stepped heard stepped say drove stopped stood started walked went got saw opened tip-toed walked looked noticed went looked care take sent know going going kept realized sent sick feet father shoes father face father mother sister sister wife,Johnny Got His Gun
18,mdp.39015040081708,Tomaini,0,took bathed was had announced inform did quieted lay frowned help claimed say supervised urged hold talked stood gabbled twitching babbled saying submerged supposed taking asked doused musician suit hands face collar puzzlement beer subject front eyes hands collar buttons hair,Geek Love
19,mdp.39015063339868,Suralee,0,got liked get asked hated said said said scratched disappeared told met said rolled crossed exchanged said told began pointed gone gasped saw said said said saw said did allow ??? ducked sniffed attached said said said stopped stared said took said speak said came said turned said said said asked opened continued said stiffened had said tried shared said looked said said changed asked asked said was said reminded said said stopped tried resumed said pulled taken done were said said said met saw recovered leaned smiled touched climbed served said said grimaced said laughed said made care breathed breathes come breathed said given cleared began read put told said said come said said said said grabbed said said rolled said closed asked stood asked had said said gasped said came knelt had got sitting said asked rubbed leaned sat slowed called nodded asked said told called be followed lay said used prefer going came helped disconnected put said said laughed said told said said busied stood pushed returned took lifted helped told join told told told asked taken told given applauding see see told sic handsome convincing home home tail tail shoulders throat hand side eyes attempt mother house face face hand throat tie hat finger side smile mother house hair face hands tires,We Are All Welcome Here
20,mdp.39015054102655,Miss Morden,0,was take coming stopped opened rubbed looked see was rode be bustled has drinking got offered sits clambers douses unscrews unwraps seems return talks begins met pulled packs leaves meet liked killed remind judge able woman drinking dead shoulder notebooks hands skirt glasses glass laugh voice satchel suggestion satchel position,The English Patient
21,mdp.39015063339868,Riley,0,come come move hear come refused look made fix did came combed looked sat was ai help moving peered wearing came get pay invite dressed Tell ask Tell need told man johns hair head eyes chin wordlessness mailbox hair shirt shoes door underwear hair house porch,We Are All Welcome Here
22,mdp.39015028400326,Sarah,0,had showed said laughed taking were crowded leaning leaned parked brought turned looked know said said smiled helping whispered quiet hands mouth Susan arm ear lap ear song,Jewel
23,mdp.39015046349141,Prince,0,stomping leaning looked turned didnt had broke looked send believe feeding had bothering took shoulder didnt hands name,The Sound and the Fury
24,mdp.39015002260167,Carlson,0,said chuckled repeated went said said stepped came walked said said said said said was leaned know said insisted scratched said said said seemed said pointed refused continued said went said put took stooped said said twitched came reached look found laid fell turned said squinted finished said said laughed said get hurried gon said ran came lost said standing looked said precede hit watched watched answer gone take joke legs bunk cheek eyes toe bunk bag pocket feet footsteps bunk bag bed gun bunk guts Luger gun Luger,Of Mice and Men
25,mdp.39015002153180,Mr. Shortley,0,tried kissed have 's meet have raise raised asked lifted done brought have said drive know said said said said feeling been ai have have made had got was knew smoke was folded said said said murmured breathing were harrowed risen said said fallen stop trying came had perceived adjust asked repeated turned began had 's got returned stood had say looked said said said do have preferred said said been said seen said recalled explained worked recognized told known know afford thought have tell go own began said pause asked watch noticed thought felt say had seen pleased ventured tell waited hated felt leaned took do said said said turned leaned looked said cranking was got seemed obeyed headed braked turn left knocked suits help supposed incapacitated pay took done want told cared see keep tell told acquainted fire told fire dairyman over-exhausted afraid corpse willing worker forgetful help irritating man tail mouth tongue mouth lips wife way courting still hands chest talk knee life elbow elbow head mind bitten face face wife job figure country house heart wife Masses family shadow pocket language shovel eyes version head shoulder eyes,A Good Man is Hard to Find
26,uc1.32106011264659,Sandy,0,sat said wanted thought thought brought came got noticed guessed picked read read gotten want imagine saw did thought left came looked say sit thought loved knew know had confided told guessed said heard thought understand knew bear had talk say knew came hear let stood look see decided put opened believe opened want pressed closed raised yelled tell said said say realized holding went said saw said moved stopped doing said said put sat brought find said pushed glanced said saw look said put said went said fixed said wanted looked said went said said said said watched saw saw folded got looked went turned started gone seemed gone grown said poured been getting had found began missed met stood took stepped held make said saw put took used lifted knew took waited put said said turned cleared said saw heard looked stared knew 'd know thought put take put scared concerned told told put told thankful stunned husband husband husband day job husband friend friend uncle uncle uncle husband fifties husband husband ashamed friend purse husband come purse finger finger carton husband husband husband head hands face husband hands face finger finger finger husband eyes husband dad dad dad mom dad husband dad mom husband dad mom husband spatula husband plate husband husband life coat eyes husband plate,Cathedral
27,mdp.39015054067759,Nick Veenhof,0,creep held broken developed moved took squeezed passed dropped came trying felt took trying took smiling came said said egging told direction hand pencil seat pals hand,The Things They Carried
28,mdp.39015028400326,Gower,0,talked smiled smiling was had worn been cleared stopped said went took shook let said brought lost trying took seen laughed laughed was transferred thought worked gave named know salesman person fork plate hair shirt face hands heels throat right own hand pocket hand hands heels smile stomach mouth shoulders truck window,Jewel
29,uc1.32106011264659,Ann,0,been nodded said sat waiting begin sat looked looked said asked shook said said said brought got said stood said said said put said said stood moved took said said said said felt realized let felt said stood said got gazed closed rode said said said walked stood tightened saw said said said said tried closed said touched took understood picked said stood tried remembered went turned looked looked stepped went turned entered said let said seemed standing looked saw had wanted was know stood went waited doing put closed listened got hear went went opened going sat said answered thought hear said listened dialed demanded asked said waited closed have pulled said twisted cried told said know said said ran washed put went went drove felt was let remembered said picked kept said moved noticed smell passed hurried came said went dropped touched looked said said see said said put said feel kept stared moved felt gazed began said heard wanted said understand let kept looked sat pulled said kept hear said continued made blurt explain hung looking picked said heard said said shouted said said said said said shook knew pushed said thought said said said leaned said wiped said sat ate kissed reassure helped watching liked told turned guided embraced hold helped aware afraid tired afraid aware hungry head hair head shoulder hand eyes shoulder neck call hand lip teeth chair chair hand hand hand hand hand hand eyes hands heart teeth jaws eyes hand purse coat coat right eyes lips finger eyes head tea son husband fingers eyes stomach feet fingers hair eyes purse hands shoulder eyes feet head words own eyes hands pockets lap hands pockets sister head arms head then face hands face shoulders back eyes coat,Cathedral
30,uc1.$b784307,Phil,0,died killed go was died went said used was gave died protested knew looked catch put tell said notice said answered went sat see been repatriated killed killed brought got mentioned puzzled kissed forget leave fond name airplane head bed life hand stomach palm tongue train,Back
31,mdp.39015054067759,Ted Lavender,0,carried carried carried went loved carried lay thinking wished find died look issue went give laughed said shot took had had wanted give died shot shot wrap carry lift took shot blamed ease shot wrapped carried laid hear weight dead man poncho way mouth eye supply level puppy boots kit foot way eyes face body eye effects arm poncho eyes,The Things They Carried
32,pst.000044192167,Lancy Davis,0,was clasped followed answered feel stood shook leaned say speak thrust opened thumbed put glanced followed tired restless knees arms face people eyes mind thoughts eye name shirt,The Heart is a Lonely Hunter
33,uc1.32106014098278,Becky,0,saw say give takes playing died thought go said wore did wore had told wearing had wanted wore spoke was hear gone stood ridden said known going came sent felt come coming found find surprised hear asked troubled carry mother young likely Climber Club daughter daughter Climber Climber Climber place hands mother father mother father father mind mother mother vision diagrams dread,The Optimist's Daughter
34,mdp.39015043002289,Joseph,0,start leading began decided do began said said hollered lighted asked staring said said lost help beaten much careful,Johnny Got His Gun
35,6479,Clopin,0,confessed made came said said finished returned placed said said said said abandoned afraid hand words orders,Notre Dame de Paris
